Title,EU(2004):BOP:EX:SA:Electrical Machinery: SITC 716+75+76+77,EU(2004):BOP:EX:SA:Mechanical Machinery: SITC 7174 less 716,EU(2004):BOP:EX:SA:Organic chemicals:SITC 51,EU(2004):BOP:EX:SA:Ships and Aircraft(SNA) : SITC 792+793,EU(2004):BOP:IM:SA:Electrical Machinery: SITC 716+75+76+77,EU(2004):BOP:IM:SA:Mechanical Machinery: SITC 7174 less 716,EU(2004):BOP:IM:SA:Organic chemicals:SITC 51,EU(2004):BOP:IM:SA:Ships and Aircraft(SNA) : SITC 792+793,nonEU(2004):BOP:Balance:SA:Ships and Aircraft(SNA) : SITC 792+793,nonEU(2004):BOP:EX:SA:Electrical Machinery: SITC 716+75+76+77,nonEU(2004):BOP:EX:SA:Mechanical Machinery: SITC 7174 less 716,nonEU(2004):BOP:EX:SA:Organic chemicals:SITC 51,nonEU(2004):BOP:EX:SA:Ships and Aircraft(SNA) : SITC 792+793,nonEU(2004):BOP:IM:SA:Electrical Machinery: SITC 716+75+76+77,nonEU(2004):BOP:IM:SA:Mechanical Machinery: SITC 7174 less 716,nonEU(2004):BOP:IM:SA:Organic chemicals:SITC 51,nonEU(2004):BOP:IM:SA:Ships and Aircraft(SNA) : SITC 792+793,Total EU less precious metals (inc non monetary gold): EU (EUlessPM): Balance: BOP: CP: SA,Total NonEU less precious metals (inc non monetary gold): NonEU (NonEUlessPM): Balance: BOP: CP: SA,Trade in Goods (T): EU: Balance: BOP: CP: SA,Trade in Goods (T): EU: Balance: BOP: CVM: SA,Trade in Goods (T): NonEU: Balance: BOP: CP: SA,Trade in Goods (T): NonEU: Balance: BOP: CVM: SA,Trade in Goods less erratics (TlessE): EU: Balance: BOP: CP: SA,Trade in Goods less oil & erratics (TlessOE): EU: Balance: BOP: CP: SA,Trade in Goods less oil & erratics (TlessOE): NonEU: Balance: BOP: CP: SA,Trade in Goods less oil (TlessO): EU: Balance: BOP: CP: SA,Trade in Goods less oil (TlessO): NonEU: Balance: BOP: CP: SA,Trade in Goods less precious metals (inc non monetary gold) (TlessPM): EU: Balance: BOP: CVM: SA,Trade in Goods less precious metals (inc non monetary gold) (TlessPM): NonEU: Balance: BOP: CVM: SA,Trade in Goods: Animal and Vegetable Oils (4): EU: Balance: BOP: CP: SA,Trade in Goods: Animal and Vegetable Oils (4): EU: Balance: BOP: CVM: SA,Trade in Goods: Animal and Vegetable Oils (4): NonEU: Balance: BOP: CP: SA,Trade in Goods: Animal and Vegetable Oils (4): NonEU: Balance: BOP: CVM: SA,Trade in Goods: Basic materials (2and4): NonEU: Balance: BOP: CP: SA,Trade in Goods: Beverages and Tobacco (1): EU: Balance: BOP: CP: SA,Trade in Goods: Beverages and Tobacco (1): EU: Balance: BOP: CVM: SA,Trade in Goods: Beverages and Tobacco (1): NonEU: Balance: BOP: CP: SA,Trade in Goods: Beverages and Tobacco (1): NonEU: Balance: BOP: CVM: SA,Trade in Goods: Chemicals (5): EU: Balance: BOP: CP: SA,Trade in Goods: Chemicals (5): EU: Balance: BOP: CVM: SA,Trade in Goods: Chemicals (5): NonEU: Balance: BOP: CP: SA,Trade in Goods: Chemicals (5): NonEU: Balance: BOP: CVM: SA,Trade in Goods: Crude Materials (2): EU: Balance: BOP: CP: SA,Trade in Goods: Crude Materials (2): EU: Balance: BOP: CVM: SA,Trade in Goods: Crude Materials (2): NonEU: Balance: BOP: CP: SA,Trade in Goods: Crude Materials (2): NonEU: Balance: BOP: CVM: SA,Trade in Goods: EU: Medicinal & pharmaceutical products (54): EX: BOP: CP: SA,Trade in Goods: EU: Medicinal & pharmaceutical products (54): IM: BOP: CP: SA,Trade in Goods: Finished manufactures (7and8): EU: Balance: BOP: CP: SA,Trade in Goods: Finished manufactures (7and8): NonEU: Balance: BOP: CP: SA,Trade in Goods: Food & live animals (0): EU: Balance: BOP: CP: SA,Trade in Goods: Food & live animals (0): EU: Balance: BOP: CVM: SA,Trade in Goods: Food & live animals (0): NonEU: Balance: BOP: CP: SA,Trade in Goods: Food & live animals (0): NonEU: Balance: BOP: CVM: SA,"Trade in Goods: Food, beverages & tobacco (0and1): EU: Balance: BOP: CP: SA","Trade in Goods: Food, beverages & tobacco (0and1): NonEU: Balance: BOP: CP: SA",Trade in Goods: Fuels (3): EU: Balance: BOP: CP: SA,Trade in Goods: Fuels (3): EU: Balance: BOP: CVM: SA,Trade in Goods: Fuels (3): NonEU: Balance: BOP: CP: SA,Trade in Goods: Fuels (3): NonEU: Balance: BOP: CVM: SA,Trade in Goods: Machinery and Transport (7): EU: Balance: BOP: CP: SA,Trade in Goods: Machinery and Transport (7): EU: Balance: BOP: CVM: SA,Trade in Goods: Machinery and Transport (7): NonEU: Balance: BOP: CP: SA,Trade in Goods: Machinery and Transport (7): NonEU: Balance: BOP: CVM: SA,Trade in Goods: Manufactures (5to8): EU: Balance: BOP: CP: SA,Trade in Goods: Manufactures (5to8): NonEU: Balance: BOP: CP: SA,Trade in Goods: Material manufatures (6): EU: Balance: BOP: CP: SA,Trade in Goods: Material manufatures (6): EU: Balance: BOP: CVM: SA,Trade in Goods: Material manufatures (6): NonEU: Balance: BOP: CP: SA,Trade in Goods: Material manufatures (6): NonEU: Balance: BOP: CVM: SA,Trade in Goods: Medicinal & pharmaceutical products (54): EU: Imports: BOP: CVM: SA,Trade in Goods: Miscellanous manufactures (8): EU: Balance: BOP: CP: SA,Trade in Goods: Miscellanous manufactures (8): EU: Balance: BOP: CVM: SA,Trade in Goods: Miscellanous manufactures (8): NonEU: Balance: BOP: CP: SA,Trade in Goods: Miscellanous manufactures (8): NonEU: Balance: BOP: CVM: SA,Trade in Goods: Oil (33): EU: Balance: BOP: CP: SA,Trade in Goods: Oil (33): NonEU: Balance: BOP: CP: SA,Trade in Goods: Precious metals (inc non monetary gold): EU: Balance: BOP: CP: SA,Trade in Goods: Precious metals (inc non monetary gold): EU: Balance: BOP: CVM: SA,Trade in Goods: Precious metals (inc non monetary gold): NonEU: Balance: BOP: CP: SA,Trade in Goods: Precious metals (inc non monetary gold): NonEU: Balance: BOP: CVM: SA,Trade in Goods: Semimanufactures (5and6): EU: Balance: BOP: CP: SA,Trade in Goods: Semimanufactures (5and6): NonEU: Balance: BOP: CP: SA,Trade in Goods: Total less erratics (TlessE): NonEU: Balance: BOP: CP: SA,Trade in Goods: Unspecified goods (9): EU: Balance: BOP: CP: SA,Trade in Goods: Unspecified goods (9): EU: Balance: BOP: CVM: SA,Trade in Goods: Unspecified goods (9): NonEU: Balance: BOP: CP: SA,Trade in Goods: Unspecified goods (9): NonEU: Balance: BOP: CVM: SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 JAN,1419,1534,360,784,2655,1918,629,326,625,1204,3041,386,574,3172,2365,486,1199,8129,5186,8146,9959,8108,10166,8597,10034,2884,9583,6617,9939,7346,36,78,42,47,92,167,205,186,237,1469,1379,1474,1559,288,358,50,12,1065,1730,4932,2643,1581,2393,730,964,1748,544,1440,1721,2278,4425,4113,4901,890,337,7463,1984,1062,1594,815,741,1982,819,634,1753,1810,1437,1491,17,20,2922,2820,2531,659,4375,51,52,3210,3264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 FEB,1355,1594,363,811,2679,2047,557,309,73,1187,3035,389,648,2980,2201,398,721,8645,4126,8673,10622,8387,10793,9160,10436,2530,9949,6982,10592,6386,36,75,35,39,61,154,184,222,255,1773,1870,1505,1646,294,367,26,15,1041,1990,5052,1824,1618,2443,642,820,1772,420,1377,1715,2112,4171,4265,4951,18,547,7895,1163,1070,1625,844,637,2380,787,635,1806,1891,1276,1405,28,30,4261,4407,2843,661,3935,53,54,4631,5014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 MAR,1546,1565,427,851,2795,2056,421,394,139,1189,3183,354,633,3381,2170,315,494,9064,3567,9242,11321,7647,10099,9585,10594,2174,10251,6229,11132,5929,39,89,26,31,45,186,241,174,218,1678,1689,1581,1678,275,338,19,26,1574,2597,5159,1634,1553,2377,640,829,1739,466,1072,1367,2041,3808,4178,4873,79,271,8143,1057,1306,1937,1004,964,3092,981,776,1555,1688,1009,1418,178,189,4080,4170,2984,577,3592,118,128,4038,4335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 APR,1327,1421,208,782,2412,1833,400,324,176,1154,2740,466,653,2966,2162,334,829,7824,4033,8007,9795,6218,8300,8305,8976,2277,8678,4668,9591,6094,33,87,42,48,63,107,133,224,272,920,899,1738,1859,290,359,21,6,840,1024,4441,2354,1616,2468,619,832,1723,395,792,935,2142,4108,3692,4316,661,276,6714,1577,1353,1907,961,951,1193,749,558,1693,1758,671,1550,183,204,2185,2206,2273,777,3827,39,41,2041,2179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 MAY,1348,1458,289,816,2421,1932,355,336,188,1155,3171,215,585,2995,2301,309,397,6730,5261,6729,8253,5540,7653,7226,8695,3067,8198,3077,8253,7412,46,89,32,36,86,99,146,231,276,1013,997,1038,1061,244,309,54,40,812,1216,4298,1723,1460,2257,653,879,1559,422,1599,1905,3388,5797,3588,4182,79,354,6468,1277,1157,1624,592,508,1402,710,530,1802,1852,1469,2463,1,1,279,241,2170,446,5530,11,10,367,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 JUN,1339,1487,249,748,2376,1949,502,635,95,1192,3038,337,584,3026,2220,298,489,8305,2830,8282,9829,1537,2984,8369,8901,1040,8814,477,9852,4198,34,82,38,42,69,141,156,147,177,989,897,1811,1952,270,351,31,12,944,1275,4853,1019,1376,2129,582,763,1517,435,678,752,2625,4675,3767,4197,362,812,7123,969,1281,1792,177,556,1450,1086,943,1381,1359,532,2014,23,23,1293,1214,2270,1988,3054,16,18,623,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 JUL,1322,1487,405,637,2462,1922,458,518,243,1182,2869,506,908,3178,2359,360,665,7324,2847,7312,9315,1633,3175,7449,8635,2001,8498,568,9323,4248,36,78,41,47,149,142,159,168,201,1055,992,1734,1860,265,357,108,106,964,1451,4525,1730,1453,2204,585,785,1595,417,1184,1007,1524,3659,3935,4485,12,506,6588,536,1008,1425,540,424,1638,590,536,1742,1725,1186,1065,12,8,1214,1073,2063,1194,3066,12,12,993,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 AUG,1283,1501,314,824,2529,2025,444,531,731,1179,3201,313,709,3223,2333,337,1440,7932,3130,8290,9698,3359,4569,8233,9424,1323,9481,2204,9322,4326,28,67,24,25,137,128,139,280,323,1052,1006,1592,1726,257,320,113,126,937,1358,4970,2119,1513,2235,637,791,1641,357,1196,1375,1454,3212,4099,4569,492,100,7514,1528,1492,1976,1001,992,1522,871,677,1627,1662,1191,1155,358,376,229,243,2544,591,2478,46,45,117,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 SEP,1289,1538,237,769,2455,1856,463,545,196,1195,3133,371,626,2803,2325,342,430,8133,1361,8514,10004,2757,3948,8315,9555,614,9754,1720,9619,2714,38,81,49,58,132,139,149,276,326,1089,1031,1783,1939,239,285,83,123,981,1351,5232,704,1444,2183,568,720,1583,292,1252,1623,1412,3466,4441,5049,835,1417,7863,31,1542,2104,1048,1029,1523,791,617,1539,1550,1240,1037,381,385,1396,1234,2631,735,1651,43,35,952,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 OCT,1310,1510,229,671,2556,1836,647,644,116,1169,3019,423,669,3996,2124,424,553,8784,3441,8807,10471,2277,3828,8816,9971,1975,9962,682,10439,5021,35,82,28,33,122,189,218,495,589,1586,1564,1656,1776,258,355,94,106,1198,1815,5274,2109,1578,2435,631,832,1767,136,1198,1544,1956,4414,4316,4924,494,168,7934,1369,1074,1547,916,924,2019,958,793,1615,1618,1155,1595,23,32,1164,1193,2660,740,3570,11,3,1306,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 NOV,1199,1363,342,749,2338,1704,385,568,85,1163,2918,426,639,2868,2125,287,554,7442,1842,7384,9039,3183,2985,7584,8644,1060,8444,4047,9100,2740,30,75,30,32,227,156,144,293,348,1055,1080,1741,1903,234,313,197,235,816,1315,4447,955,1500,2239,573,728,1656,280,1150,1427,1446,3411,3603,4233,312,666,6640,203,1138,1648,583,632,1487,844,735,1267,1277,1060,864,58,61,5025,5725,2193,1158,1924,26,43,4933,5704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 DEC,1167,1316,794,780,2264,1884,488,525,293,1167,2987,324,647,2765,2050,267,354,6150,975,5862,7178,4437,4757,6349,7936,51,7449,5682,7500,1607,35,82,45,57,135,169,190,412,486,587,582,1666,1834,266,344,90,110,830,1114,4244,144,1515,2195,519,707,1684,107,1674,2166,1634,3728,3389,3980,969,1657,5755,1173,924,1365,349,355,1218,855,731,1113,1140,1587,1245,288,323,5412,6364,1511,1317,1296,204,274,5140,6173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 JAN,1229,1412,411,817,2270,1804,329,220,28,1081,2984,862,564,2796,2190,372,536,6329,2740,6123,7813,1327,2922,6914,8212,1460,7421,77,8017,4546,25,61,29,36,139,214,237,295,350,1006,1029,1945,2084,234,322,110,108,674,1364,3790,1557,1549,2262,613,795,1763,318,1368,1704,1873,4194,2940,3542,161,402,5592,200,796,1366,588,541,1584,850,786,1718,1826,1298,1404,206,204,1413,1624,1802,1357,2864,123,147,1203,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 FEB,1217,1295,391,752,2378,1618,437,440,59,1192,3378,205,518,2659,2372,330,459,6344,2749,6330,8090,4755,6853,6675,8231,1079,7886,2775,8105,4937,36,68,24,26,163,205,260,177,214,696,757,1464,1581,312,401,139,136,856,1117,4294,708,1508,2161,605,766,1713,428,1617,2062,2361,4956,3465,4234,588,929,5849,134,859,1313,622,631,1367,829,734,1296,1344,1556,1980,14,16,2006,1916,1555,842,3059,37,35,1937,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 MAR,1151,1157,308,459,2187,1506,437,327,190,1089,2686,565,824,2564,2252,366,634,7542,2270,7511,8666,2340,4184,7658,8380,1146,8233,919,8702,4109,35,76,48,49,147,176,210,263,310,920,959,1878,2005,213,267,99,133,1001,1411,4330,1155,1630,2310,619,780,1806,356,752,1230,1851,4541,3537,3968,340,568,6211,70,961,1348,793,717,1632,793,712,1495,1565,722,1421,31,36,70,75,1881,1085,2567,2,14,84,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 APR,1004,876,487,284,2061,970,449,77,127,938,2424,401,395,2821,1482,399,268,4171,2336,3474,3547,497,1305,4326,5084,2241,4232,806,4232,4011,49,100,38,41,232,218,255,130,166,711,592,1903,2008,206,261,194,195,983,1350,1591,2208,1604,2376,550,698,1822,420,801,1852,679,2744,1299,1593,650,638,2882,759,580,833,454,389,1572,292,169,1558,1582,758,309,697,685,2833,2706,1291,1449,2550,684,764,2587,2460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 MAY,1060,955,529,277,1960,1048,343,354,301,1020,2327,349,469,2782,1207,367,168,4077,1723,3890,4028,2114,815,3995,4812,1865,4707,2371,4251,3470,27,68,42,52,306,268,319,121,152,543,456,1653,1725,195,259,264,267,1027,1497,1858,1352,1613,2430,569,706,1881,448,869,1979,570,2544,1623,1913,388,393,2758,442,357,569,141,185,1740,235,125,964,968,817,257,187,223,3837,4285,900,1794,2122,102,168,2996,3418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 JUN,1157,1301,193,444,2037,1441,309,237,205,1034,2233,539,606,3069,1429,447,401,6031,2263,5614,6327,997,3151,6195,6772,2412,6191,660,6762,4373,33,76,31,35,200,249,276,48,81,729,664,1571,1683,267,354,169,163,978,1379,2985,1922,1541,2400,573,762,1790,525,672,1327,662,2833,2480,2843,528,474,4539,113,825,1108,464,456,1578,505,375,1394,1474,577,337,417,435,1266,1222,1554,2035,2749,343,407,277,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
